shrink,tau,id_acc_mean,id_acc_std,fusion_auroc_mean,fusion_auroc_std,fusion_fpr90_mean,fusion_fpr90_std,fusion_fpr80_mean,fusion_fpr95_mean,maha_auroc_mean,evid_auroc_mean
0.001,20.0,0.928125,0.08600849340326804,0.956640625,0.050516806110964485,0.121875,0.16064141453093594,0.096875,0.13125,0.875,0.8154947916666666
0.05,10.0,0.928125,0.08600849340326804,0.95078125,0.05354120118251771,0.128125,0.1520530078212858,0.103125,0.15625,0.7947916666666666,0.8154947916666666
0.001,10.0,0.928125,0.08600849340326804,0.9518229166666666,0.05513519624932323,0.13125,0.1588071993408989,0.09375,0.159375,0.875,0.8154947916666666
0.01,10.0,0.928125,0.08600849340326804,0.9528645833333333,0.05509789895730641,0.134375,0.16298006013006622,0.09375,0.159375,0.8423177083333334,0.8154947916666666
0.01,20.0,0.928125,0.08600849340326804,0.952734375,0.05151381329380926,0.1375,0.16476782908080084,0.1,0.15625,0.8423177083333334,0.8154947916666666
0.1,10.0,0.928125,0.08600849340326804,0.9470052083333333,0.05427048344416964,0.1375,0.14757148691396993,0.1,0.178125,0.77265625,0.8154947916666666
0.1,5.0,0.928125,0.08600849340326804,0.951953125,0.054281806837041875,0.146875,0.17279582876186567,0.1,0.153125,0.77265625,0.8154947916666666
0.05,5.0,0.928125,0.08600849340326804,0.9505208333333334,0.05625580180823728,0.15625,0.18684782411095935,0.10625,0.171875,0.7947916666666666,0.8154947916666666
0.001,5.0,0.928125,0.08600849340326804,0.9436197916666667,0.06153222076853992,0.15625,0.1935861202088104,0.1125,0.2,0.875,0.8154947916666666
0.1,2.0,0.928125,0.08600849340326804,0.9466145833333334,0.05746157334275057,0.159375,0.1937121938921244,0.103125,0.228125,0.77265625,0.8154947916666666
0.001,2.0,0.928125,0.08600849340326804,0.9358072916666668,0.06498132942908032,0.16875,0.1782893978199489,0.103125,0.228125,0.875,0.8154947916666666
0.01,5.0,0.928125,0.08600849340326804,0.9453125,0.061358734288982905,0.175,0.21119775611379019,0.10625,0.190625,0.8423177083333334,0.8154947916666666
0.05,20.0,0.928125,0.08600849340326804,0.940234375,0.05227503781914513,0.175,0.15245388647063085,0.115625,0.2125,0.7947916666666666,0.8154947916666666
0.01,2.0,0.928125,0.08600849340326804,0.9342447916666666,0.06750143669703038,0.175,0.18033172557816884,0.1125,0.228125,0.8423177083333334,0.8154947916666666
0.05,2.0,0.928125,0.08600849340326804,0.9421875,0.060999164735394525,0.178125,0.20149587077034606,0.096875,0.21875,0.7947916666666666,0.8154947916666666
0.1,20.0,0.928125,0.08600849340326804,0.9255208333333333,0.05292011720315826,0.2375,0.13639470526746997,0.14375,0.3,0.77265625,0.8154947916666666
